AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,
Anchor Capital Advisors LLC,,UBS,N/A,MAC,Combination of stragies for each account,,Dual Contract,--,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,--,,,,,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,Focused Value,,Model-Delivered,Mid-Cap Value,N/A,Focused Value,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,Vestmark,Vestmark,N/A,Vestmark Manager Marketplace Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,1,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,
Anchor Capital Advisors LLC,,Wells Fargo Advisors,N/A,DMA and Masters Programs ,Balanced ,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced ,4137,863.61,36.73,33.78,2.95,--,926.02,61.31,27.83,33.48,--,1046.75,93.44,26.32,67.12,--,1085.57,78.36,38.99,39.37,--,1124.85,56.44,43.36,13.08,--,1119.06,41.7,54.24,-12.54,--,1138.15,29.1,35.04,-5.94,,1139.99,26.6,38.92,-12.32,--,1077.21,29.1,44.84,-15.74,--,
Anchor Capital Advisors LLC,,Wells Fargo Advisors,N/A,DMA and Masters Programs ,Midcap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Midcap,1443,378.67,6.911,9.11,-2.199,--,386.84,6.4,8.94,-2.54,--,390.78,11.03,9.67,1.36,--,410.85,10.59,5.66,4.93,--,431.28,8.35,5.62,2.73,--,436.51,11.88,11.65,0.23,--,437.18,6.03,12.63,-6.6,,459.06,9.19,13.32,-4.13,--,438.86,10.12,24.68,-14.56,--,
Anchor Capital Advisors LLC,,Wells Fargo Advisors,N/A,DMA and Masters Programs ,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,340,52.36,4.32,3.03,1.29,--,64.25,8.66,0.461,8.199,--,70.57,8.43,4.69,3.74,--,79.91,10.32,1.6,8.72,--,93.22,15.09,5.61,9.48,--,100,10.71,3.59,7.12,--,101.41,2.27,4.15,-1.88,,99.36,2.4,6.83,-4.43,--,97.05,5.66,3.49,2.17,--,
Anchor Capital Advisors LLC,,Wells Fargo Advisors,N/A,Private Advisor Network,Combination of stragies for each account,,Dual Contract,--,N/A,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,--,,,,,,,,,,--,,,,,--,
Anchor Capital Advisors LLC,,Wells Fargo Bank,N/A,Managed Diversified Portfolios ,Midcap,F00000JVJ1,Traditional,Mid-Cap Value,N/A,Midcap,170,81.5,1.12,1.53,-0.41,--,82.84,1.18,3.33,-2.15,--,84.29,0.905,1.34,-0.435,--,85.81,0.864,2.24,-1.376,--,84.34,0.448,5.15,-4.702,--,84.25,0.415,0.984,-0.569,--,85.13,0.543,0.721,-0.178,,87.39,0.102,0.936,-0.834,--,85.24,0.906,0.687,0.219,--,
