AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,Envestnet,Envestnet,N/A,Envestnet UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,--,0,0,0,,0,0,0,0,--,0,0,0,0,--
,Envestnet,Envestnet,N/A,Envestnet UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,144,2.11,0,0,,--,2.67,0,0,0,--,3.94,0,0,0,--,6.61,0,0,0,--,12.03,0,0,0,--,18.11,0,0,0,--,19.25,0,0,0,,16.32,0,0,0,--,15.47,0,0,0,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--
,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,8,0.35,0,0,,--,0.38,0,0,0,--,0.392,0,0,0,--,1.12,0,0,0,--,1.26,0,0,0,--,1.28,0,0,0,--,1.14,0,0,0,,1.22,0,0,0,--,6.81,0,0,0,--
,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,2,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0.66,0.66,0,0,--,0.658,0,0,0,,0,0,0,0,--,0.631,0,0,0,--
,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schwab,Schwab,N/A,Managed Account Access,All Cap,F00000JVJ0,Traditional,Large Value,N/A,All Cap,4,0.39,3.93,0,,--,0.414,0,0,0,--,1.34,0.913,0,0.913,--,1.37,0,0,0,--,1.42,0,0,0,--,1.44,0,0,0,--,1.74,0.244,0,0.244,,1.8,0,0,0,--,1.82,0,0,0,--
,Schwab,Schwab,N/A,Managed Account Access,Balanced,F00000J8TH,Traditional,Allocation,N/A,Balanced,24,0.92,0,0.142,,--,0.954,0,0,0,--,0.892,0,0.077,-0.077,--,0.893,0,0,0,--,0.917,0,0,0,--,0.93,0,0,0,--,0.955,0,0,0,,2.49,1.28,0.224,1.056,--,5.76,2.59,0.109,2.481,--
