AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Legg Mason,-,Janney Montgomery Scott,,Adviser Program,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.129,8.00437642,5.11145013,-0.03324085,5.07820928,0,10.17532521,1.75865023,-0.04947202,1.70917821,0,12.51775696,2.14690736,-0.04541729,2.10149007,0,15.35025173,2.69047032,-0.25254753,2.43792279,0,21.88634944,4.82550269,-0.17601183,4.64949086,0,29.53363715,7.55556059,-0.5420134,7.01354719,0,36.00702668,8.5155022,-1.75441705,6.76108515,0,41.58006625,4.75623163,-0.58147276,4.17475887,0,37.35262658,3.62333754,-6.4040061,-2.78066856,0
Legg Mason,-,Merrill Lynch,,Managed Account Services (MAS),LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.018,7.08613106,0,-0.47681242,-0.47681242,0,7.20608615,0,-0.07243146,-0.07243146,0,7.3155923,0,-0.1772456,-0.1772456,0,7.49312986,0.075,-0.10121254,-0.02621254,0,7.64132067,0.007,-0.27439269,-0.26739269,0,7.76723195,0.00184,-0.08681505,-0.08497505,0,7.9467187,0,-0.10975562,-0.10975562,0,8.25725491,0.02,-0.14945816,-0.12945816,0,8.06806258,0.07382806,-0.13129501,-0.05746695,0
Legg Mason,-,Morgan Stanley Wealth Management,,Investment Management Services (IMS),LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.005,2.35298096,0,-0.061545,-0.061545,0,2.40554922,0,-0.00650618,-0.00650618,0,2.49406358,0,-0.0066894,-0.0066894,0,2.55508323,0,-0.00959048,-0.00959048,0,2.53159687,0,-0.16765307,-0.16765307,0,2.59257427,0,-0.00716496,-0.00716496,0,2.67943219,0,-0.00998518,-0.00998518,0,2.8188609,0,-0.01027233,-0.01027233,0,2.72206861,0,-0.05120184,-0.05120184,0
Legg Mason,-,RBC Wealth Manangement,,Managed Account Program (MAP),LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.104,26.879379,0.25281761,-0.18201291,0.0708047,0,26.980527,0.14533001,-0.92090585,-0.77557584,0,27.888252,0.2039937,-0.08914848,0.11484522,0,29.007892,0.7035431,-0.17292742,0.53061568,0,31.785017,1.59459593,-0.83942267,0.75517326,0,32.428688,0.5458791,-0.06733373,0.47854537,0,33.619405,0.5971221,-0.64065252,-0.04353042,0,33.116732,0.2851401,-0.89996955,-0.61482945,0,32.59155,0.1812561,-0.11043216,0.07082394,0
Legg Mason,-,Stephens,,Managed Assets Program (Model),LM MDA 3 SMA,LMMDA3,Model Delivery,-,,Large Blend ,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88939334,0,0,0,0,2.08235715,0.55400432,-0.39486395,0.15914037,0,2.25378154,0.13211465,-0.01591254,0.11620211,0,2.36948997,0.00329794,0,0.00329794,0,2.36064574,0.01471901,-0.03829036,-0.02357135,0
Legg Mason,-,Stephens,,Manager Assets Program,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0,2.14370789,0,-0.02627879,-0.02627879,0,1.42383229,0,-0.76027526,-0.76027526,0,1.67304669,0.19956913,-0.00847263,0.1910965,0,1.81239262,0.09790589,-0.00802125,0.08988464,0,0,0,-0.00908411,-0.00908411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legg Mason,-,Stifel,,Opportunity Program,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.023,5.242414,0.405177,-0.144384,0.260793,0,6.286355,1.062089,-0.501075,0.561014,0,7.32253,0.569883,-0.13130712,0.43857588,0,5.041433,0.401546,-2.682715,-2.281169,0,5.89347,0.451049,-0.05635763,0.39469137,0,5.957485,0,-0.013125,-0.013125,0,6.081057,0.04371818,-0.12879918,-0.085081,0,6.367349,0,-0.00503845,-0.00503845,0,5.731439,0,-0.01105604,-0.01105604,0
Legg Mason,-,UBS Financial,,Managed Account Consulting (MAC) (Eligible),LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.183,79.16338556,0.50261134,-10.30072057,-9.79810923,0,83.77949612,5.83812994,-2.94324226,2.89488768,0,87.57102564,3.32584713,-2.24437561,1.08147152,0,89.10962557,1.46819508,-2.45794622,-0.98975114,0,93.54558672,0.90978017,-1.55358155,-0.64380138,0,96.32292026,1.38397096,-1.15198431,0.23198665,0,99.18077474,0.59573288,-1.32067532,-0.72494244,0,103.7835353,0.8164192,-1.60554498,-0.78912578,0,100.2432676,0.67564674,-2.84752047,-2.17187373,0
Legg Mason,-,Wells Fargo Advisors,,Diversified Managed Allocations Program (DMA),LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.092,22.576968,2.60461344,-2.72815607,-0.12354263,0,26.366801,4.33681297,-1.34081917,2.9959938,0,28.869815,4.54294633,-2.60581426,1.93713207,0,30.202789,3.14010082,-2.824649,0.31545182,0,34.433896,5.98017326,-3.3896018,2.59057146,0,34.546022,1.582287,-1.39050272,0.19178428,0,32.795916,1.11796912,-2.31471514,-1.19674602,0,34.854715,0.95943149,-1.20887527,-0.24944378,0,30.073872,1.58794828,-4.26130882,-2.67336054,0
Legg Mason,-,Wells Fargo Advisors,,Masters Investment Consulting Services (MASTERS),LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.196,47.535349,5.0289735,-2.12993173,2.89904177,0,49.812951,3.6092638,-3.99391512,-0.38465132,0,54.044616,2.12342019,-0.163012,1.96040819,0,57.306105,3.48903466,-3.92947487,-0.44044021,0,72.099555,9.76845022,-2.49392115,7.27452907,0,75.142473,2.70816034,-1.43735552,1.27080482,0,76.683043,1.67184769,-2.16186143,-0.49001374,0,76.73435,2.36186794,-5.57485199,-3.21298405,0,70.690607,0.84265399,-5.32203568,-4.47938169,0
