"	FlowDate		SponsorFirm	SponsorFirmId	SmaStrategy		SmaProductType	SmaProductTypeCode		MorningstarStrategyId		Assets",,,
"X104	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.0025",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.6601",
"X104	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.4062",
"X104	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.792",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.001",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	0",
"P101	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6482",
"P101	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.5762",
"P101	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6226",
"P101	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.4538",
"P101	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6726",
"P101	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.5693",
"P101	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6399",
"P101	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.7054",
"P101	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.0067",
"P101	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
"P101	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	AUM	0.6347",
"P101	Q2-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Eq	NUGLCAPEQ	Dual Contract	Dual		WS	R	-0.006",
