AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmCode,SponsorFirmId,DoverSponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,Mstar classification_name,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,2Q 2018 a,2Q 2018 g,2Q 2018 r,2Q 2018 n,2Q 2018 d
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,287492.26,0.3,0,0.3,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Lockwood Sponsored Program/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,1,941729.51,0.6,0,0.6,N/A,958256.34,0,0,0,N/A,956911.31,,,,N/A,905594.42,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,5,2081242.37,0,0,0,N/A,2161562.1,0,0,0,N/A,2051570.16,0,0,0,N/A,2194334.93,0,0,0,N/A,2221642.95,0,0,0,N/A,2260006.2,0,0,0,N/A,2250897.46,0,-0.1,-0.1,N/A,2367976.38,0,0,0,N/A,,,,,N/A,2269866.98,0,0,0,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,1,,,,,N/A,,,,,N/A,187846.68,,,,N/A,202472.61,0,0,0,N/A,206217.78,0,0,0,N/A,210375.38,0,0,0,N/A,217211.53,,,,N/A,229832.3,,,,N/A,,,,,N/A,223009.56,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,1,103958.08,0,0,0,N/A,107584.42,0,0,0,N/A,110777.28,0,0,0,N/A,118632.3,0,0,0,N/A,119628.18,0,0,0,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Lockwood Sponsored Program/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,1,473701.65,0,0,0,N/A,492558.33,,,,N/A,510637.57,,,,N/A,549977.65,,,,N/A,557549.74,,,,N/A,567515.95,,,,N/A,553483.49,0,0,0,N/A,584496.33,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,1,1010228.76,0,0,0,N/A,1052093.99,,,,N/A,1091296.54,,,,N/A,1175713.51,,,,N/A,1192352.01,,,,N/A,1214699.28,,,,N/A,1252404.37,,,,N/A,1323468.15,,,,N/A,,,,,N/A,1273397.45,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Lockwood Sponsored Program/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,1,714443.61,,,,N/A,743820.84,,,,N/A,774019.22,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,1,265301.74,0,0,0,N/A,276449.65,0,0,0,N/A,286966.47,0,0,0,N/A,167312.4,0,-0.1,-0.1,N/A,169619.17,,,,N/A,172949.53,,,,N/A,178412.13,,,,N/A,188615.46,0,0,0,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Large Cap Value,Large Cap Value,SAUSA001QU,Traditional,Trad,Large Cap Value,LV,U.S. Equity,4,941884.71,0,0,0,N/A,980857.71,0,0,0,N/A,1018037.15,,,,N/A,1090121.69,0,0,0,N/A,1106170.1,,,,N/A,1121524.17,0,0,0,N/A,1105207.66,0,-0.1,-0.1,N/A,1168671.76,,,,N/A,,,,,N/A,1106283.71,0,0,0,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,200653.46,,,,N/A,201098.18,,,,N/A
